doi,title,year,authors_str
10.1016/j.ijdevneu.2013.10.002,Social communication mediates the relationship between emotion perception and externalizing behaviors in young adult survivors of pediatric traumatic brain injury (TBI),2013,Nicholas P. Ryan; Vicki Anderson; Celia Godfrey; Senem Eren; Stefanie Rosema; Kaitlyn Taylor; Cathy Catroppa
10.1002/2017GL076788,Maritime NO<sub>x</sub> Emissions Over Chinese Seas Derived From Satellite Observations,2018,J. Ding; R. J. van der A; B. Mijling; J.‐P. Jalkanen; L. Johansson; P. F. Levelt
10.1016/j.brainres.2017.02.020,Role of proBDNF and BDNF in dendritic spine plasticity and depressive-like behaviors induced by an animal model of depression,2017,Hui Qiao; Shu-Cheng An; Chang Xu; Xin-Ming Ma
10.1016/j.molcel.2018.07.010,An Mtb-Human Protein-Protein Interaction Map Identifies a Switch between Host Antiviral and Antibacterial Responses,2018,Bennett H. Penn; Zoe Netter; Jeffrey R. Johnson; John Von Dollen; Gwendolyn M. Jang; Tasha Johnson; Yamini M. Ohol; Cyrus Maher; Samantha L. Bell; Kristina Geiger; Guillaume Golovkine; Xiaotang Du; Alex Choi; Trevor Parry; Bhopal C. Mohapatra; Matthew D. Storck; Hamid Band; Chen Chen; Stefanie Jäger; Michael Shales; Dan A. Portnoy; Ryan Hernandez; Laurent Coscoy; Jeffery S. Cox; Nevan J. Krogan
10.1016/j.neuroimage.2014.01.060,Permutation inference for the general linear model,2014,Anderson M. Winkler; Gerard R. Ridgway; Matthew A. Webster; Stephen M. Smith; Thomas E. Nichols
10.1016/j.bbi.2020.04.074,Guillain-Barré syndrome as a complication of SARS-CoV-2 infection,2020,Matteo Coen; Grégoire Jeanson; L. Alejandro Culebras Almeida; Annemarie Hübers; Florian Stierlin; Iris Najjar; Marie Ongaro; Kelly Moulin; Maria Makrygianni; Béatrice Leemann; Ilona Kronig; Jérôme Bertrand; Jean-Luc Reny; Manuel Schibler; Jacques Serratrice
10.5194/acp-19-11031-2019,"Fine particulate matter (PM<sub>2.5</sub>) trends in China, 2013–2018: separating contributions from anthropogenic emissions and meteorology",2019,Shixian Zhai; Daniel J. Jacob; Xuan Wang; Lu Shen; Ke Li; Yuzhong Zhang; Ke Gui; Tianliang Zhao; Hong Liao
10.1016/j.pharep.2014.03.010,Glutamate and modeling of schizophrenia symptoms: Review of our Findings: 1990–2014,2014,Pascual Ángel Gargiulo; Adriana Inés Landa De Gargiulo
10.1073/pnas.1120251109,"<i>Mycobacterium tuberculosis</i>
            Eis protein initiates suppression of host immune responses by acetylation of DUSP16/MKP-7",2012,Kyoung Hoon Kim; Doo Ri An; Jinsu Song; Ji Young Yoon; Hyoun Sook Kim; Hye Jin Yoon; Ha Na Im; Jieun Kim; Do Jin Kim; Sang Jae Lee; Ki-Hye Kim; Hye-Mi Lee; Hie-Joon Kim; Eun-Kyeong Jo; Jae Young Lee; Se Won Suh
10.1038/pr.2016.85,Association of traumatic brain injury in childhood and attention-deficit/hyperactivity disorder: a population-based study,2016,Ling-Yu Yang; Chao-Ching Huang; Wen-Ta Chiu; Li-Tung Huang; Wei-Cheng Lo; Jia-Yi Wang
10.1073/pnas.1109201108,<i>Mycobacterium tuberculosis</i>protein tyrosine phosphatase (PtpA) excludes host vacuolar-H<sup>+</sup>–ATPase to inhibit phagosome acidification,2011,Dennis Wong; Horacio Bach; Jim Sun; Zakaria Hmama; Yossef Av-Gay
10.1016/j.nrl.2020.04.007,Síndrome de Guillain-Barré asociado a infección por SARS-CoV-2,2020,A. Velayos Galán; P. del Saz Saucedo; F. Peinado Postigo; E. Botia Paniagua
10.1212/CPJ.0000000000000880,A Case Series of Guillain-Barré Syndrome After COVID-19 Infection in New York,2021,Monica Chan; Steve C. Han; Sean Kelly; Michael Tamimi; Brandon Giglio; Ariane Lewis
10.1093/bioinformatics/btn564,SNAP: a web-based tool for identification and annotation of proxy SNPs using HapMap,2008,Andrew D. Johnson; Robert E. Handsaker; Sara L. Pulit; Marcia M. Nizzari; Christopher J. O'Donnell; Paul I. W. de Bakker
10.1093/humrep/dep119,"Daily variation of brain-derived neurotrophic factor and cortisol in women with normal menstrual cycles, undergoing oral contraception and in postmenopause",2009,N. Pluchino; A. Cubeddu; S. Begliuomini; S. Merlini; A. Giannini; F. Bucci; E. Casarosa; M. Luisi; V. Cela; A.R. Genazzani
10.1016/j.ajp.2012.08.010,BDNF–TrkB signaling and neuroprotection in schizophrenia,2013,Chirayu D. Pandya; Ammar Kutiyanawalla; Anilkumar Pillai
10.1056/NEJMc2008597,Neurologic Features in Severe SARS-CoV-2 Infection,2020,Julie Helms; Stéphane Kremer; Hamid Merdji; Raphaël Clere-Jehl; Malika Schenck; Christine Kummerlen; Olivier Collange; Clotilde Boulay; Samira Fafi-Kremer; Mickaël Ohana; Mathieu Anheim; Ferhat Meziani
10.1371/journal.ppat.1006344,Mycobacterium marinum antagonistically induces an autophagic response while repressing the autophagic flux in a TORC1- and ESX-1-dependent manner,2017,Elena Cardenal-Muñoz; Sonia Arafah; Ana Teresa López-Jiménez; Sébastien Kicka; Alexandra Falaise; Frauke Bach; Olivier Schaad; Jason S. King; Monica Hagedorn; Thierry Soldati
10.1038/nm.3813,A bacterial cyclic dinucleotide activates the cytosolic surveillance pathway and mediates innate resistance to tuberculosis,2015,Bappaditya Dey; Ruchi Jain Dey; Laurene S Cheung; Supriya Pokkali; Haidan Guo; Jong-Hee Lee; William R Bishai
10.1016/j.neuroimage.2005.03.026,DTI and MTR abnormalities in schizophrenia: Analysis of white matter integrity,2005,M. Kubicki; H. Park; C.F. Westin; P.G. Nestor; R.V. Mulkern; S.E. Maier; M. Niznikiewicz; E.E. Connor; J.J. Levitt; M. Frumin; R. Kikinis; F.A. Jolesz; R.W. McCarley; M.E. Shenton
10.1002/hipo.10135,Impaired interleukin‐1 signaling is associated with deficits in hippocampal memory processes and neural plasticity,2003,Avi Avital; Inbal Goshen; Ariel Kamsler; Menahem Segal; Kerstin Iverfeldt; Gal Richter‐Levin; Raz Yirmiya
10.1038/327532a0,Introduction of foreign DNA into mycobacteria using a shuttle phasmid,1987,William R. Jacobs; Margareta Tuckman; Barry R. Bloom
10.1016/S0928-8244(03)00223-2,Gene expression profiling detects patterns of human macrophage responses following<i>Mycobacterium tuberculosis</i>infection,2003,Jennifer P. Wang; Steffney E. Rought; Jacques Corbeil; Donald G. Guiney
10.3233/BPL-200105,The Effect of Aerobic Exercise on Physical and Cognitive Outcomes in a Small Cohort of Outpatients with Schizophrenia,2020,Nicholas Massa; Alaaeddin Alrohaibani; Kevin Mammino; Medina Bello; Nicholas Taylor; Bruce Cuthbert; Molly Fargotstein; Monica M. Coulter; Jeffery H. Boatright; Joe Nocera; Erica Duncan
10.3389/fcimb.2020.595029,Host Cell Targets of Released Lipid and Secreted Protein Effectors of Mycobacterium tuberculosis,2020,Jacques Augenstreich; Volker Briken
10.1007/s00415-016-8204-2,Proximal nerve lesions in early Guillain–Barré syndrome: implications for pathogenesis and disease classification,2017,José Berciano; María J. Sedano; Ana L. Pelayo-Negro; Antonio García; Pedro Orizaola; Elena Gallardo; Miguel Lafarga; María T. Berciano; Bart C. Jacobs
10.1128/mBio.02791-19,Functionally Overlapping Variants Control Tuberculosis Susceptibility in Collaborative Cross Mice,2019,Clare M. Smith; Megan K. Proulx; Rocky Lai; Michael C. Kiritsy; Timothy A. Bell; Pablo Hock; Fernando Pardo-Manuel de Villena; Martin T. Ferris; Richard E. Baker; Samuel M. Behar; Christopher M. Sassetti
10.1002/wps.20026,Future perspectives on the treatment of cognitive deficits and negative symptoms in schizophrenia,2013,Donald C. Goff
10.1371/journal.pbio.1001743,Neuregulin and BDNF Induce a Switch to NMDA Receptor-Dependent Myelination by Oligodendrocytes,2013,Iben Lundgaard; Aryna Luzhynskaya; John H. Stockley; Zhen Wang; Kimberley A. Evans; Matthew Swire; Katrin Volbracht; Hélène O. B. Gautier; Robin J. M. Franklin; Charles ffrench-Constant; David Attwell; Ragnhildur T. Káradóttir
10.1037/a0018418,Clinically significant behavior problems during the initial 18 months following early childhood traumatic brain injury.,2010,Leah A. Chapman; Shari L. Wade; Nicolay C. Walz; H. Gerry Taylor; Terry Stancin; Keith O. Yeates
10.1177/0269881114563634,Glutamate and dopamine in schizophrenia: An update for the 21<sup>st</sup> century,2015,Oliver Howes; Rob McCutcheon; James Stone
10.1177/1099800417735634,Serum BDNF Is Positively Associated With Negative Symptoms in Older Adults With Schizophrenia,2018,Sasha S. Binford; Erin M. Hubbard; Elena Flowers; Bruce L. Miller; Heather Leutwyler
10.1016/j.chom.2020.02.012,An M. tuberculosis Metabolic Enzyme Moonlights as an Anti-Inflammatory Effector Protein,2020,Tina Truong; Bennett H. Penn
10.1371/journal.pone.0061925,Inhibition of Nuclear Factor-Kappa B Activation Decreases Survival of Mycobacterium tuberculosis in Human Macrophages,2013,Xiyuan Bai; Nicole E. Feldman; Kathryn Chmura; Alida R. Ovrutsky; Wen-Lin Su; Laura Griffin; Dohun Pyeon; Mischa T. McGibney; Matthew J. Strand; Mari Numata; Seiji Murakami; Loretta Gaido; Jennifer R. Honda; William H. Kinney; Rebecca E. Oberley-Deegan; Dennis R. Voelker; Diane J. Ordway; Edward D. Chan
10.1128/JB.00469-07,ESAT-6 from<i>Mycobacterium tuberculosis</i>Dissociates from Its Putative Chaperone CFP-10 under Acidic Conditions and Exhibits Membrane-Lysing Activity,2007,Marien I. de Jonge; Gérard Pehau-Arnaudet; Marjan M. Fretz; Felix Romain; Daria Bottai; Priscille Brodin; Nadine Honoré; Gilles Marchal; Wim Jiskoot; Patrick England; Stewart T. Cole; Roland Brosch
10.1093/nar/gks1193,NCBI GEO: archive for functional genomics data sets—update,2012,Tanya Barrett; Stephen E. Wilhite; Pierre Ledoux; Carlos Evangelista; Irene F. Kim; Maxim Tomashevsky; Kimberly A. Marshall; Katherine H. Phillippy; Patti M. Sherman; Michelle Holko; Andrey Yefanov; Hyeseung Lee; Naigong Zhang; Cynthia L. Robertson; Nadezhda Serova; Sean Davis; Alexandra Soboleva
10.1128/IAI.69.7.4295-4302.2001,"Subcellular Localization of the Intracellular Survival-Enhancing Eis Protein of
            <i>Mycobacterium tuberculosis</i>",2001,John L. Dahl; Jun Wei; James W. Moulder; Suman Laal; Richard L. Friedman
10.1073/pnas.0710601105,"<i>Mycobacterium tuberculosis</i>
            Rv2224c modulates innate immune responses",2008,Jyothi Rengarajan; Elissa Murphy; Arnold Park; Cassandra L. Krone; Erik C. Hett; Barry R. Bloom; Laurie H. Glimcher; Eric J. Rubin
10.1073/pnas.1911646117,"The
            <i>Mycobacterium marinum</i>
            ESX-1 system mediates phagosomal permeabilization and type I interferon production via separable mechanisms",2020,Julia Lienard; Esther Nobs; Victoria Lovins; Elin Movert; Christine Valfridsson; Fredric Carlsson
10.1007/s00213-018-4835-6,Brain-derived neurotrophic factor as a biomarker for cognitive recovery in acute schizophrenia: 12-week results from a prospective longitudinal study,2018,Yi Zhang; Xinyu Fang; Weixing Fan; Wei Tang; Jun Cai; Lisheng Song; Chen Zhang
10.1093/nar/gkab835,"Correction to ‘The STRING database in 2021: customizable protein–protein networks, and functional characterization of user-uploaded gene/measurement sets’",2021,Damian Szklarczyk; Annika L Gable; Katerina C Nastou; David Lyon; Rebecca Kirsch; Sampo Pyysalo; Nadezhda T Doncheva; Marc Legeay; Tao Fang; Peer Bork; Lars J Jensen; Christian von Mering
10.1128/mBio.01765-18,Mycobacterium tuberculosis Type VII Secretion System Effectors Differentially Impact the ESCRT Endomembrane Damage Response,2018,Ekansh Mittal; Michael L. Skowyra; Grace Uwase; Emir Tinaztepe; Alka Mehra; Stefan Köster; Phyllis I. Hanson; Jennifer A. Philips
10.1088/2040-8986/19/1/013003,Photobiomodulation and the brain: a new paradigm,2017,Madison Hennessy; Michael R Hamblin
10.1073/pnas.1707840114,<i>Mycobacterium tuberculosis</i>inhibits human innate immune responses via the production of TLR2 antagonist glycolipids,2017,Landry Blanc; Martine Gilleron; Jacques Prandi; Ok-ryul Song; Mi-Seon Jang; Brigitte Gicquel; Daniel Drocourt; Olivier Neyrolles; Priscille Brodin; Gérard Tiraby; Alain Vercellone; Jérôme Nigou
10.1002/pmic.200600853,Comprehensive analysis of exported proteins from <b><i>Mycobacterium tuberculosis</i></b> H37Rv,2007,Hiwa Målen; Frode S. Berven; Kari E. Fladmark; Harald G. Wiker
10.1371/journal.pone.0010474,Secreted Mycobacterium tuberculosis Rv3654c and Rv3655c Proteins Participate in the Suppression of Macrophage Apoptosis,2010,Lia Danelishvili; Yoshitaka Yamazaki; Jeannie Selker; Luiz E. Bermudez
10.1007/s00415-020-09907-z,Post-infectious Guillain–Barré syndrome related to SARS-CoV-2 infection: a case report,2020,Nilo Riva; Tommaso Russo; Yuri Matteo Falzone; Marta Strollo; Stefano Amadio; Ubaldo Del Carro; Massimo Locatelli; Massimo Filippi; Raffaella Fazio
10.1111/j.1467-8624.2005.00897.x,"Relations Among Positive Parenting, Children's Effortful Control, and Externalizing Problems: A Three‐Wave Longitudinal Study",2005,Nancy Eisenberg; Qing Zhou; Tracy L. Spinrad; Carlos Valiente; Richard A. Fabes; Jeffrey Liew
10.1002/wps.20693,"Dopamine and glutamate in schizophrenia: biology, symptoms and treatment",2020,Robert  A. McCutcheon; John H. Krystal; Oliver D. Howes
10.3390/healthcare11142017,Protocol Report on the Transcranial Photobiomodulation for Alzheimer’s Disease (TRAP-AD) Study,2023,Dan V. Iosifescu; Xiaotong Song; Maia B. Gersten; Arwa Adib; Yoonju Cho; Katherine M. Collins; Kathy F. Yates; Aura M. Hurtado-Puerto; Kayla M. McEachern; Ricardo S. Osorio; Paolo Cassano
10.1073/pnas.1315883111,Molecular profiling of<i>Mycobacterium tuberculosis</i>identifies tuberculosinyl nucleoside products of the virulence-associated enzyme Rv3378c,2014,Emilie Layre; Ho Jun Lee; David C. Young; Amanda Jezek Martinot; Jeffrey Buter; Adriaan J. Minnaard; John W. Annand; Sarah M. Fortune; Barry B. Snider; Isamu Matsunaga; Eric J. Rubin; Tom Alber; D. Branch Moody
10.1038/s41587-019-0036-z,SignalP 5.0 improves signal peptide predictions using deep neural networks,2019,José Juan Almagro Armenteros; Konstantinos D. Tsirigos; Casper Kaae Sønderby; Thomas Nordahl Petersen; Ole Winther; Søren Brunak; Gunnar von Heijne; Henrik Nielsen
10.1021/acschembio.6b00568,Trisaccharides of Phenolic Glycolipids Confer Advantages to Pathogenic Mycobacteria through Manipulation of Host-Cell Pattern-Recognition Receptors,2016,Ainhoa Arbués; Wladimir Malaga; Patricia Constant; Christophe Guilhot; Jacques Prandi; Catherine Astarie-Dequeker
10.1016/j.toxicon.2015.10.003,Mechanism of ESAT-6 membrane interaction and its roles in pathogenesis of Mycobacterium tuberculosis,2016,Xiuli Peng; Jianjun Sun
10.1073/pnas.0709530105,Disclosure of the mycobacterial outer membrane: Cryo-electron tomography and vitreous sections reveal the lipid bilayer structure,2008,Christian Hoffmann; Andrew Leis; Michael Niederweis; Jürgen M. Plitzko; Harald Engelhardt
10.4209/aaqr.210056,A Comparison Study of Chemical Compositions and Sources of PM1.0 and PM2.5 in Hanoi,2021,Pham Duy Hien; Vuong Thu Bac; Nguyen Thi Hong Thinh; Ha Lan Anh; Duong Duc Thang; Nguyen The Nghia
10.1155/2011/325789,Ultrastructural Alterations of Myelinated Fibers and Oligodendrocytes in the Prefrontal Cortex in Schizophrenia: A Postmortem Morphometric Study,2011,Natalya A. Uranova; Olga V. Vikhreva; Valentina I. Rachmanova; Diana D. Orlovskaya
10.5194/amt-6-2989-2013,The Collection 6 MODIS aerosol products over land and ocean,2013,R. C. Levy; S. Mattoo; L. A. Munchak; L. A. Remer; A. M. Sayer; F. Patadia; N. C. Hsu
10.1038/nmicrobiol.2016.274,Programmable transcriptional repression in mycobacteria using an orthogonal CRISPR interference platform,2017,Jeremy M. Rock; Forrest F. Hopkins; Alejandro Chavez; Marieme Diallo; Michael R. Chase; Elias R. Gerrick; Justin R. Pritchard; George M. Church; Eric J. Rubin; Christopher M. Sassetti; Dirk Schnappinger; Sarah M. Fortune
10.1084/jem.20180508,<i>Mycobacterium tuberculosis</i>–induced IFN-β production requires cytosolic DNA and RNA sensing pathways,2018,Yong Cheng; Jeffrey S. Schorey
10.1080/21655979.2017.1387692,Mycobacterium tuberculosis H37Rv infection regulates alternative splicing in Macrophages,2018,Wei Zhang; Chen Niu; Rui-Yang Fu; Zheng-Yu Peng
10.15585/mmwr.ss6609a1,"Traumatic Brain Injury–Related Emergency Department Visits, Hospitalizations, and Deaths — United States, 2007 and 2013",2017,Christopher A. Taylor; Jeneita M. Bell; Matthew J. Breiding; Likang Xu
10.1007/s00381-017-3527-6,Local and global challenges in pediatric traumatic brain injury outcome and rehabilitation assessment,2017,L. E. Schrieff-Elson; N. Steenkamp; M. I. Hendricks; K. G. F. Thomas; U. K. Rohlwink
10.1016/j.chom.2010.12.004,"Virulence of Mycobacterium tuberculosis Depends on Lipoamide Dehydrogenase, a Member of Three Multienzyme Complexes",2011,Aditya Venugopal; Ruslana Bryk; Shuangping Shi; Kyu Rhee; Poonam Rath; Dirk Schnappinger; Sabine Ehrt; Carl Nathan
10.1016/j.pscychresns.2018.11.002,Differences in white matter connectivity between treatment-resistant and treatment-responsive subtypes of schizophrenia,2018,Carolyn Beth McNabb; Rob Kydd; Frederick Sundram; Ian Soosay; Bruce Roy Russell
10.1002/jmri.21053,"Effects of signal‐to‐noise ratio on the accuracy and reproducibility of diffusion tensor imaging–derived fractional anisotropy, mean diffusivity, and principal eigenvector measurements at 1.5T",2007,Jonathan A.D. Farrell; Bennett A. Landman; Craig K. Jones; Seth A. Smith; Jerry L. Prince; Peter C.M. van Zijl; Susumu Mori
10.1021/acs.est.5b03965,Spatial and Seasonal Dynamics of Ship Emissions over the Yangtze River Delta and East China Sea and Their Potential Environmental Influence,2016,Qianzhu Fan; Yan Zhang; Weichun Ma; Huixin Ma; Junlan Feng; Qi Yu; Xin Yang; Simon K. W. Ng; Qingyan Fu; Limin Chen
10.1037/0012-1649.42.4.627,"Responsive parenting: Establishing early foundations for social, communication, and independent problem-solving skills.",2006,Susan H. Landry; Karen E. Smith; Paul R. Swank
10.1056/NEJMc2001272,Importation and Human-to-Human Transmission of a Novel Coronavirus in Vietnam,2020,Lan T. Phan; Thuong V. Nguyen; Quang C. Luong; Thinh V. Nguyen; Hieu T. Nguyen; Hung Q. Le; Thuc T. Nguyen; Thang M. Cao; Quang D. Pham
10.1084/jem.184.3.993,Identification of a heparin-binding hemagglutinin present in mycobacteria.,1996,F D Menozzi; J H Rouse; M Alavi; M Laude-Sharp; J Muller; R Bischoff; M J Brennan; C Locht
10.1074/jbc.M115.653600,Mycobacterium tuberculosis TlyA Protein Negatively Regulates T Helper (Th) 1 and Th17 Differentiation and Promotes Tuberculosis Pathogenesis,2015,Md. Aejazur Rahman; Parveen Sobia; Ved Prakash Dwivedi; Aakansha Bhawsar; Dhiraj Kumar Singh; Pawan Sharma; Prashini Moodley; Luc Van Kaer; William R Bishai; Gobardhan Das
10.1111/tra.12334,<scp>Vps33B</scp> is required for delivery of endocytosed cargo to lysosomes,2015,Romain Galmes; Corlinda ten Brink; Viola Oorschot; Tineke Veenendaal; Caspar Jonker; Peter van der Sluijs; Judith Klumperman
10.1093/eurheartj/ehv692,Brain-derived neurotrophic factor Val66Met polymorphism in depression and thrombosis: SIRT1 as a possible mediator,2015,Sokrates Stein; Stephan Winnik; Christian M. Matter
10.3390/cancers14092224,Automatic Cancer Cell Taxonomy Using an Ensemble of Deep Neural Networks,2022,Se-woon Choe; Ha-Yeong Yoon; Jae-Yeop Jeong; Jinhyung Park; Jin-Woo Jeong
10.1073/pnas.1713195115,"Identification of genes required for
            <i>Mycobacterium abscessus</i>
            growth in vivo with a prominent role of the ESX-4 locus",2018,Laura Laencina; Violaine Dubois; Vincent Le Moigne; Albertus Viljoen; Laleh Majlessi; Justin Pritchard; Audrey Bernut; Laura Piel; Anne-Laure Roux; Jean-Louis Gaillard; Bérengère Lombard; Damarys Loew; Eric J. Rubin; Roland Brosch; Laurent Kremer; Jean-Louis Herrmann; Fabienne Girard-Misguich
10.3389/fpsyt.2013.00045,"BDNF and Schizophrenia: From Neurodevelopment to Neuronal Plasticity, Learning, and Memory",2013,R. Nieto; M. Kukuljan; H. Silva
10.1038/srep32618,EsxA membrane-permeabilizing activity plays a key role in mycobacterial cytosolic translocation and virulence: effects of single-residue mutations at glutamine 5,2016,Qi Zhang; Decheng Wang; Guozhong Jiang; Wei Liu; Qing Deng; Xiujun Li; Wei Qian; Hugues Ouellet; Jianjun Sun
10.1002/ana.25807,<scp>COVID</scp>‐19: A Global Threat to the Nervous System,2020,Igor J. Koralnik; Kenneth L. Tyler
10.1056/nejmc2009191,Guillain–Barré Syndrome Associated with SARS-CoV-2,2020,Gianpaolo Toscano; Francesco Palmerini; Sabrina Ravaglia; Luigi Ruiz; Paolo Invernizzi; M. Giovanna Cuzzoni; Diego Franciotta; Fausto Baldanti; Rossana Daturi; Paolo Postorino; Anna Cavallini; Giuseppe Micieli
10.3389/fneur.2021.751736,A Systematic Scoping Review of New Attention Problems Following Traumatic Brain Injury in Children,2021,Sonja Stojanovski; Shannon E. Scratch; Benjamin T. Dunkley; Russell Schachar; Anne L. Wheeler
10.1093/schbul/19.2.199,Diagnosis and Classification of Schizophrenia,1993,N. C. Andreasen; W. T. Carpenter
10.1093/brain/awm184,Anatomically related grey and white matter abnormalities in adolescent-onset schizophrenia,2007,G. Douaud; S. Smith; M. Jenkinson; T. Behrens; H. Johansen-Berg; J. Vickers; S. James; N. Voets; K. Watkins; P. M. Matthews; A. James
10.3390/vetsci9070376,Mutational Analysis of c-KIT and PDGFRA in Canine Gastrointestinal Stromal Tumors (GISTs),2022,Maria Morini; Fabio Gentilini; Maria Elena Turba; Francesca Gobbo; Luciana Mandrioli; Giuliano Bettini
10.1016/j.chom.2017.04.004,A Rab20-Dependent Membrane Trafficking Pathway Controls M. tuberculosis Replication by Regulating Phagosome Spaciousness and Integrity,2017,Laura Schnettger; Angela Rodgers; Urska Repnik; Rachel P. Lai; Gang Pei; Martijn Verdoes; Robert J. Wilkinson; Douglas B. Young; Maximiliano G. Gutierrez
